Perturbedgene	APC	ARID1A	ARID1B	ATM	BAP1	BID	BRCA1	BRCA2	CASP8	CDH1	CDKN1B	CDKN2A	CHEK1	CTCF	GATA3	MLH1	NCOR1	NF1	PTEN	PTPN22	PTPRD	RAD51	RB1	RUNX1	SETD2	STK11	TP53	MKI67
APC	0.138075836476524	-0.0343441660045313	-0.00590770252693777	0.156211672631867	-0.0950102970949916	-0.23299078827427	-0.0841822417223329	-0.0744166788567163	-0.0612683709446886	-0.00502028417239755	0.0449048236740665	0	-0.0463788513783191	-0.0363084596198253	-0.109617263683674	-0.0242078383869643	-0.0707208772295718	-0.0309544762254267	-0.079284851542371	-0.0194468453290262	0	-0.173970555046914	-0.1173297905531	-0.0435222781740576	0.0950794917137731	0.267219193478923	0.214449590551132	-0.150287676553705
ARID1A	-0.0113300849981499	-0.0382544078868178	0.0274827267143852	0.0794962138858691	-0.0774144744038486	-0.0750500431532286	-0.0175376863568765	-0.161561271098547	-0.0406605408130804	-0.078454253192627	-0.0455020563757299	0	0.0701533000251175	-0.0571042278031391	0.0447242502733871	-0.0431255042325422	0.0521244474065877	0.113775241302654	0.0228223307664757	-0.024222929980703	0	-0.0759537679311469	0.0144306058187997	0.0585422886739385	-0.114888003472714	0.0746624011454171	0.00719415041466328	-0.055231115230951
ARID1B	-0.00922593252887038	0.030415077687728	-0.0131379434524111	-0.0331381545250039	-0.0806237814084883	-0.0319708546958928	-0.0564064830821282	0.019284322428889	-0.0257424300865273	-0.0709494463321475	-0.0653627971962313	0	0.0848668952064811	0.00840217615468512	-0.143247969969707	-0.055734127042383	-0.0244013672743626	0.0615970364686444	0.0663090191389805	-0.0224349830225588	0	0.0402996993265537	0.0572167859985309	0.0330194847818412	0.0957401712979111	-0.0626380641974091	0.0668623059713823	-0.00584975612423486
ATM	-0.0317765384409941	0.138622071903544	-0.0339325433027719	0.0129741628121873	0.142033840056389	-0.0753158492643034	-0.0870916770858508	0.0171174786520183	0.0224381224647602	0.00850505297843891	-0.0483425064109803	0	-0.0401023551062163	0.0781743675336983	-0.0416818481822957	0.00649277101658836	-0.057025325925867	0.0328621203763665	0.0904632383114267	-0.0227477151658078	0	-0.046010606746879	0.0104181414932255	-0.0614485740783964	-0.0841906802989505	0.149140539753001	0.186762705146035	-0.0700934171533925
BAP1	0.0137117890062516	0.0944151045514438	0.19574233979602	-0.00595889712092181	-0.106948265929633	-0.0828330569711183	-0.134921779630769	-0.130750216589831	-0.000498682269066658	-0.0149683627603302	0.0721610433867079	0	0.0132401713712081	-0.106244438621682	-0.0379455699835041	-0.0379279515379705	-0.00570419857579548	-0.00427015021318317	0.0745108658795094	0.0319524378368128	0	-0.0890923902152184	0.073772445360028	0.0247498663361436	-0.156186466700636	-0.0980277070227207	0.0224980888826688	-0.14341081677412
BID	-0.00904240334714066	0.00672355850524204	0.0445640168073205	0.0230740258040974	0.0109459279742131	-0.0610341870547439	-0.0848466313351643	-0.0504151376984115	-0.152132769197396	-0.0274432766490349	-0.113998453224558	0	0.00836381166376037	-0.000485995507368248	0.0608139540478936	-0.0119549715323543	0.0457914026072385	0.0903226334281845	0.0602803171620514	-0.0217986987127491	0	-0.113083164821365	0.0666197648019964	-0.0777518968311778	-0.0674695722344926	-0.0451334049343769	0.0950025140783754	-0.127317641914226
BRCA1	0.0950491503252287	0.0628001659902551	0.00210090383645538	-0.0183968845918004	0.0373585218230362	-0.0695706114725475	0.0037972895898301	-0.0586855139011147	-0.0492156117376482	0.0110121628327161	-0.0399366425256948	0	-0.105876789396296	0.10836678579442	0.00732146624512926	0.0260606173990446	0.0556545075223456	-0.109594557701395	-0.136075245816066	0.0334452721253111	0	-0.057111462258077	-0.131970993273788	-0.0031122612223477	-0.0633739098254636	0.0399152140565513	0.0469972818893334	-0.0323265685656505
BRCA2	0.0254887423818018	-0.00128329048026086	0.0482151842645069	0.000896774253075324	-0.0386121204632587	-0.0144648227343468	-0.0351534355385902	-0.0565546261419996	0.0890738646008363	-0.0612173452366289	-0.0141905998652473	0	-0.015093047470021	-0.0214432787990989	-0.0187190923067851	-0.0157690570988031	0.040959807253336	0.0172758656165247	0.0353236880357448	-0.018907718314323	0	-0.0726675295787475	0.0187449800398652	-0.00638219770791272	-0.0948137611112655	0.00153967000191674	0.0386391635071748	-0.110981279480341
CASP8	0.0260157617255651	0.0367711512312288	0.0192337377948688	-0.0432926833858309	0.0316557007375293	-0.0187087827116387	-0.0554649357588727	0.13680236493798	0.143980193462824	0.0296931958521874	-0.069400464656798	0	-0.0418276507551438	-0.0248510387544462	-0.0787909214961047	0.0275128343793807	0.0298555841463745	-0.0387994275597553	0.0359882663848519	-0.0225495416397334	0	-0.0645182028005725	-0.0387212605792636	0.0680099423014842	0.061668846344207	-0.0186184854519668	-0.0249690051025569	-0.0317108880092375
CDH1	0.00219109503008084	0.0397028346248891	0.120618464970806	-0.0476908815975939	-0.0688231925960484	-0.0736941032808473	0.013406177514268	-0.0976167851464951	0.0143598680043947	-0.17977176376187	-0.00628653077059103	0	0.0838753144939276	-0.0218244693046406	-0.0935001227319	0.131794649419171	0.0105568664785185	-0.0568296265815418	-0.0196481310126548	-0.0178675939622613	0	-0.0104771519936624	-0.181323789266222	0.0690491510502989	-0.19691308417159	0.0936446329289381	0.0217088215592868	0.0221553634974299
CDKN1B	-0.0395138310861513	-0.0198218197344987	-0.0191362977827012	-0.0739826806437079	0.0603538537635176	0.0274023823418822	-0.152840403691979	-0.114572040464287	-0.0576094311366165	0.0313419946416924	0.00065989912829772	0	-0.016423542205074	-0.0273730630835579	-0.0328854656057732	0.0133523059760801	0.0778910349074604	0.0387641825137993	0.0931586875017914	-0.0236891140890467	0	-0.04401794867855	-0.0661869315503392	0.0955083061390393	0.132430821040271	0.128423723276435	-0.0295296606040609	-0.086955528001936
CDKN2A	-0.088403242285317	-0.0978976050316622	0.0228129256777464	-0.0317322761804866	0.0545122679271192	0.00793414270885611	-0.146218074787859	-0.048535833469629	0.0137425132361104	0.00825778758197347	0.0102192383939392	0	0.0333443131412378	0.0965823921795168	-0.122119652133196	-0.108758349525846	0.00343595061288334	-0.0674777630333029	-0.0227689187113753	-0.015369157690589	0	-0.156398883964306	0.0389480138515887	-0.053229059061475	-0.136313828166859	-0.00536577480332836	-0.00609014094592544	-0.120000899438352
CHEK1	-0.0710102550778853	-0.0121083851176908	0.103400289884159	-0.0719340835676312	-0.0434849726169729	-0.0281586886137436	-0.0427617513794766	-0.00277713704470458	0.135753033257678	-0.119034238767543	-0.101480142910764	0	0.0374241301129104	-0.0855155989535428	0.0326178413557336	-0.180914420139219	-0.00371248207322744	-0.0892244315248736	-0.0127968431807878	-0.019342643574852	0	-0.00960946980690143	0.0480809650424096	0.00494976612587671	-0.0494032637924076	-0.0798229424155963	0.0202704030762685	0.0190189618740175
CTCF	-0.0175370447207073	0.0655398401372045	0.0558311334433794	0.0217441540911747	-0.073146742091016	-0.216709594021621	-0.143741286434099	-0.0605917789795431	-0.0279587677613385	-0.0834829374904049	-0.0254187162998416	0	-0.0819226267197724	-0.0535091003229976	-0.00807758365893089	0.0192211376341554	-0.0595607464809533	-0.102137836693582	0.0268532970282264	0.0527798306830369	0	-0.0755119260640352	-0.0784384715720433	-0.0317542176236463	0.0211293124508381	-0.00399993572697126	-0.0838073353978366	-0.113504244443032
